"Company Name",ISIN,"Target Qualification",SME?,"Business ambitions 1.5",Country,Region,Sector,Status,Date,"Date Explanation",Target,"Target Classification"
"Aguas Andinas S.A.",,1.5°C,,1,Chile,"Latin America","Water Utilities","Targets Set","2020-01-01 00:00:00",,"
Chilean water utility company Aguas Andinas S.A. commits to reduce absolute scope 1 and 2 GHG emissions 54% by 2030 from a 2017-2018 base year period. Aguas Andinas S.A. also commits to reduce absolute scope 3 GHG emissions 16% over the same time frame covering emissions from purchased good and services, upstream and downstream transportation and distribution and waste generated in operations.
*The target boundary includes biogenic emissions and removals from bioenergy feedstocks. 
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Air Liquide Group S.A.",FR0000120073,,,,France,Europe,Chemicals,Committed,"2019-06-30 23:00:00",,,
"Ajinomoto Co., Inc.",JP3119600009,1.5°C,,1,Japan,Asia,"Food and Beverage Processing","Targets Set","2020-04-30 23:00:00",,"
Ajinomoto Co., Inc. commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2018 base year. Ajinomoto Co., Inc. also commits to reduce scope 3 GHG emissions 24% per ton of production over the same target period.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
AkzoNobel,US0101993055,,,,Netherlands,Europe,Chemicals,Committed,"2017-01-01 00:00:00",,,
"Alaya Consulting Ltd.",,2°C,,1,"Hong Kong",Asia,"Professional Services","Targets Set","2019-04-30 23:00:00",,"
Environmental Management & Consultancy Service Alaya Consulting commits to reduce scope 1 and 2 GHG emissions 47% per m2 by 2023 from a 2017 base year. Alaya Consulting also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, capital goods, waste generated in operations, business travel and employee commuting 7% by 2023 from a 2017 base year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"Albaraka Türk Participation Bank",TREALBK00011,,,,Turkey,Asia,"Banks, Diverse Financials and Insurance",Committed,"2020-07-31 23:00:00",,,
"ALDI Einkauf GmbH & Co. oHG (Aldi Nord)",,,,,Germany,Europe,Retailing,Committed,"2020-06-30 23:00:00",,,
"ALDI SOUTH Group",,"Well-below 2°C",,,Austria,Europe,Retailing,"Targets Set","2020-06-30 23:00:00",,"
ALDI SOUTH Group commits to reduce absolute scope 1 and 2 GHG emissions 26% by 2025 from a 2016 base year. ALDI SOUTH group also commits that 75% of its suppliers by emissions covering purchased goods will have science-based targets by 2024. 
* The target boundary includes biogenic emissions and removals from bioenergy feedstocks.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"ALDO Group Inc.",,"Well-below 2°C",,,Canada,"North America","Textiles, Apparel, Luxury Goods","Targets Set","2019-08-31 23:00:00",,"
Canadian shoe and accessories chain retailer The ALDO Group commits to reduce absolute scope 1 and 2 GHG emissions 40% by 2030 from a 2016 base year. The ALDO Group also commits to reduce scope 3 GHG emissions from footwear manufacturing and materials 30% per pair of shoes by 2030 from a 2016 base yea
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Allianz Investment Management SE",DE0008404005,,,,Germany,Europe,"Banks, Diverse Financials and Insurance",Committed,"2018-04-30 23:00:00",,,
"Allied Sustainability and Environmental Consultants Group Limited",,,,,"Hong Kong",Asia,"Professional Services",Committed,"2019-07-31 23:00:00",,,
"Alltech, Inc.",,,,,"United States of America (USA)","North America","Food Production - Agricultural Production",Committed,"2019-06-30 23:00:00",,,
"Alma Media",FI0009013114,2°C,,,Finland,Europe,Media,"Targets Set","2018-09-30 23:00:00",,"
Alma Media commits to reduce absolute Scope 1 and Scope 2 GHG emissions 21 % by 2025 from a 2016 base-year. Alma Media also commits to reduce Scope 3 emissions 10% by 2023 from a 2016 base-year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
Alstom,FR0010220475,1.5°C,,,France,Europe,"Ground Transportation - Railroads","Targets Set","2021-01-07 00:00:00",,"Alstom commits to reduce absolute scope 1 and 2 GHG emissions 25% by 2025 from a 2019 base year. Alstom commits to reduce scope 3 GHG emissions from the use of sold products from rolling stock 35% per passenger-km and 35% per ton-km by 2030 from a 2019 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"alstria office REIT-AG",DE000A0LD2U1,"1.5°C/Well-below 2°C",,,Germany,Europe,"Real Estate","Targets Set","2020-06-30 23:00:00",,"
Germany-based real estate company alstria office REIT-AG commits to reduce absolute scope 1 and 3 GHG emissions 30% by 2030 from a 2018 base year. Alstria office REIT-AG also commits to continue annually sourcing 100% renewable electricity through 2030. 
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C/Well-below 2°C. The renewable energy procurement target covering scope 2 emissions is consistent with reductions required to keep warming to 1.5°C."
"Altri SGPS S.A.",PTALT0AE0002,,,,Portugal,Europe,"Forest and Paper Products",Committed,"2020-01-01 00:00:00",,,
"Altria Group, Inc.",US02209S1033,1.5°C,,,"United States of America (USA)","North America",Tobacco,"Targets Set","2020-06-30 23:00:00",,"
Altria commits to reduce absolute scope 1 and 2 GHG emissions 55% by 2030 from a 2017 base year. Altria also commits to reduce absolute scope 3 GHG emissions 18% by 2030 from a 2017 base year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Amalgamated Bank",US0226631085,,,,"United States of America (USA)","North America","Banks, Diverse Financials and Insurance",Committed,"2020-01-01 00:00:00",,,
Amazon,,,,,"United States of America (USA)","North America",Retailing,Committed,"2020-05-31 23:00:00",,,
"Ambev S.A.",BRABEVACNOR1,,,1,Brazil,"North America","Food and Beverage Processing",Committed,"2019-11-01 00:00:00",,"
",
"Ambuja Cement Ltd",INE079A01024,,,,India,Asia,"Construction Materials",Committed,"2018-07-31 23:00:00",,,
"Amdocs Ltd.",GB0022569080,1.5°C,,,"United States of America (USA)","North America","Software and Services","Targets Set","2020-09-30 23:00:00",,"
Amdocs Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 21% by FY2024 from a FY2019 base year. Amdocs Ltd. Also commits to reduce absolute scope 3 GHG emissions 13% over the same period.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Amergin Pty Ltd",,,,1,Australia,Oceania,"Professional Services",Committed,"2019-09-30 23:00:00",,,
"América Móvil",MXP001691213,1.5°C,,1,Mexico,"Latin America",Telecommunications,"Targets Set","2020-07-31 23:00:00",,"
América Móvil commits to reduce absolute scope 1 and 2 GHG emissions 52% by 2030 from a 2019 base year. América Móvil also commits to reduce absolute scope 3 GHG emissions 14% by 2030 from a 2019 base year
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"American Eagle Outfitters, Inc.",US02553E1064,1.5°C,,,"United States of America (USA)","North America","Textiles, Apparel, Luxury Goods","Targets Set","2020-06-30 23:00:00",,"
American Eagle Outfitters commits to reduce absolute scope 1 and scope 2 GHG emissions 80% by 2030 from a 2018 base year. American Eagle Outfitters also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and capital goods 40% by 2030 and 60% by 2040, from a 2018 base year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"AMF FASTIGHETER AB",,,,,Sweden,Europe,"Real Estate",Committed,"2019-09-30 23:00:00",,,
"An Post",,,,1,Ireland,Europe,Retailing,Committed,"2019-12-01 00:00:00",,,
"ANA Holdings Inc.",,,,,Japan,Asia,"Air Transportation - Airlines",Committed,"2020-04-30 23:00:00",,,
"Anritsu Corporation",,2°C,,,Japan,Asia,"Technology Hardware and Equipment","Targets Set","2019-12-01 00:00:00",,"
Japanese multinational corporation in the telecommunications electronics equipment market Anritsu commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2015 base year. Anritsu also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and the use of sold product emissions 30% by 2030 from a 2018 base year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"Anthem, Inc.",US0367521038,,,,"United States of America (USA)","North America","Healthcare products and services",Committed,"2018-03-01 00:00:00",,,
Apotea,,,,,Sweden,Europe,"Food and Staples Retailing",Committed,"2018-11-01 00:00:00",,,
"Applied Materials",,,,1,"United States of America (USA)","North America","Semiconductors and Semiconductors Equipment",Committed,"2020-06-30 23:00:00",,,
"Applied Optoelectronics Inc.",US03823U1025,,,,"United States of America (USA)","North America",Telecommunications,Committed,"2018-03-31 23:00:00",,,
"AptarGroup Inc.",US0383361039,"Well-below 2°C",,,"United States of America (USA)","North America","Containers and Packaging","Targets Set","2020-07-31 23:00:00",,"
Aptargroup Inc commits to reduce absolute scope 1 and 2 GHG emissions 28% by 2030 from a 2019 base year. Aptargroup Inc commits to increase annual sourcing of renewable electricity from 57% in 2019 to 100% by 2030. Aptargroup Inc also commits to reduce absolute scope 3 GHG emissions 14% by 2030 from a 2019 base year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C. The renewable energy procurement target covering scope 2 emissions is consistent with reductions required to keep warming to 1.5°C."
"Aqua America",US03836W1036,,,,"United States of America (USA)","North America","Water Utilities",Committed,"2019-06-30 23:00:00",,,
"Arab Printing Press",,,,1,Lebanon,Asia,"Commercial services and supplies",Committed,"2019-06-30 23:00:00",,,
"Arabesque S-Ray Gmbh",,,,,Germany,Europe,"Professional Services",Committed,"2019-01-01 00:00:00",,,
Arauco,,,,1,Chile,"Latin America","Forest and Paper Products",Committed,"2020-05-31 23:00:00",,,
"ARC Alternative and Renewable Construction LLC",,,,,"United States of America (USA)","North America","Construction and Engineering",Committed,"2020-03-01 00:00:00",,,
"Arc'teryx Equipment",,1.5°C,,1,Canada,"North America","Textiles, Apparel, Luxury Goods","Targets Set","2020-03-31 23:00:00",,"
Arc'teryx commits to reduce absolute scope 1 and 2 GHG emissions 65% by 2030 from a 2018 base year. Arc'teryx commits to reduce scope 3 GHG emissions 65% per unit of value added by 2030 from a 2018 base year
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Ardagh Group S.A.",,,,1,Luxembourg,Europe,"Containers and Packaging",Committed,"2020-08-31 23:00:00",,,
Arkema,,,,,France,Europe,Chemicals,Committed,"2020-06-30 23:00:00",,,
"Arkhangelsk Pulp and Paper Mill",RU0005418796,,,,Russia,Europe,"Forest and Paper Products",Committed,"2019-07-31 23:00:00",,,
"Arla Foods",,2°C,,,Denmark,Europe,"Food and Beverage Processing","Targets Set","2019-08-31 23:00:00",,"
Scandinavian multinational cooperative Arla Foods commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2015 base year. Arla Foods commits to reduce scope 3 GHG emissions 30% per kg raw milk by 2030 from a 2015 base year.

*The target boundary includes biogenic emissions and removals from bioenergy feedstocks

","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"Arm Holdings",GB0000595859,,,,"United Kingdom (UK)",Europe,"Semiconductors and Semiconductors Equipment",Committed,"2018-03-31 23:00:00",,,
"Armada Supply Chain Solutions, LLC",,"Well-below 2°C",,,"United States of America (USA)","North America","Ground Transportation - Trucking","Targets Set","2020-03-31 23:00:00",,"
Logistics service provider Armada commits to reduce scope 1, 2, and 3 GHG emissions 40% per short ton of goods outbound by 2030 from a 2015 base year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Armstrong Engineering Limited",,,,,Kenya,Africa,"Construction and Engineering",Committed,"2019-06-30 23:00:00",,,
"Artistic Milliners",,,,1,Pakistan,Asia,"Textiles, Apparel, Luxury Goods",Committed,"2019-09-30 23:00:00",,,
Arup,,1.5°C,,1,"United Kingdom (UK)",Europe,"Professional Services","Targets Set","2020-07-31 23:00:00",,"
Arup commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2025 from a 2018 base year. Arup also commits to reduce absolute scope 3 GHG emissions 30% by 2025 from a 2018 base year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Asahi Group Company Limited",,,,,China,Asia,"Electrical Equipment and Machinery",Committed,"2020-02-01 00:00:00",,,
"Asahi Group Holdings",JP3116000005,2°C,,,Japan,Asia,"Food and Beverage Processing","Targets Set","2018-08-31 23:00:00",,"
Brewery and soft drink company, Asahi Group Holdings Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 and reach zero absolute GHG emissions by 2050 from a 2015 base-year. Asahi Group Holdings Ltd. also commits to reduce absolute Scope 3 GHG emissions 30% by 2030 and reach zero GHG emissions by 2050 from a 2015 base-year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"ASE Technology Holding, Co., Ltd.",,,,,"Taiwan, Province of China",Asia,"Semiconductors and Semiconductors Equipment",Committed,"2020-05-31 23:00:00",,,
"Asia Cement Corporation",,,,,"Taiwan, Province of China",Asia,"Construction Materials",Committed,"2020-05-31 23:00:00",,,
"Asia Pacific Resources International Holdings Ltd",,,,,Singapore,Asia,"Forest and Paper Products",Committed,"2020-08-31 23:00:00",,,
"ASICS Corporation",JP3118000003,"Well-below 2°C",,1,Japan,Asia,"Textiles, Apparel, Luxury Goods","Targets Set","2018-07-31 23:00:00",,"
Multinational Japanese footwear, apparel and sports equipment company ASICS Corporation commits to reduce absolute scope 1 and 2 GHG emissions 38% by 2030 from a 2015 base year. ASICS also commits to reduce scope 3 GHG emissions from purchased goods and services and end-of-life treatment of sold products 55% per product manufactured by 2030 from a 2015 base year
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"ASKUL Corporation",JP3119920001,1.5°C,,1,Japan,Asia,Retailing,"Targets Set","2018-07-31 23:00:00",,"
ASKUL Corporation commits to reduce its absolute scope 1 and 2 GHG emissions to zero by 2030. ASKUL Corporation also commits to reduce its absolute scope 3 emissions 12% by 2030 from a 2015 base year. The scope 3 target covers purchased goods and services and upstream transportation and distribution.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"ASN Bank",,,,,Netherlands,Europe,"Banks, Diverse Financials and Insurance",Committed,"2019-01-01 00:00:00",,,
"Assa Abloy AB",SE0007100581,,,1,Sweden,Europe,"Technology Hardware and Equipment",Committed,"2020-10-07 23:00:00",,,
"Astellas Pharma Inc.",JP3942400007,2°C,,,Japan,Asia,"Pharmaceuticals and Biotech","Targets Set","2018-11-01 00:00:00",,"
Japanese pharmaceutical company Astellas Pharma Inc. commits to reduce absolute Scope 1 and 2 GHG emissions 30% by 2030 from a 2015 base-year. Astellas Pharma Inc. also commits to reduce Scope 3 GHG emissions 20% per JPY of revenue by 2030 from a 2015 base-year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
AstraZeneca,GB0009895292,1.5°C,,1,"United Kingdom (UK)",Europe,"Pharmaceuticals and Biotech","Targets Set","2016-09-30 23:00:00",,"
Multinational pharmaceutical and biopharmaceutical company AstraZeneca commits to reduce absolute scope 1 emissions 20% and scope 2 emissions 95% from 2015 – 2025. In addition, the company will reduce all scope 3 emissions 25% per million USD of sales within the same timeframe.
To support the achievement of the Scope 3 intensity target the company set the following sub-goals: 1) reduce GHG emissions from waste incineration, business air travel, freight & logistics and first tier active pharmaceutical ingredients and formulation & packaging suppliers (>90% of category spend, energy only) 20% by 2025 from a 2015 base-year, 2) reduce GHG emissions per device from patient use of inhaler therapy devices over the same time period and 3) improve primary data collection within Scope 3 value chain greenhouse gas accounting by 2020.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"AT&T Inc.",US00206R1023,2°C,,,"United States of America (USA)","North America",Telecommunications,"Targets Set","2020-03-01 00:00:00",,"
AT&T commits* to reduce absolute scope 1 and scope 2 GHG emissions 26% by 2030 from a 2015 base year. AT&T also commits that 50% of its suppliers by spend covering purchased goods and services, capital goods, and downstream leased assets will set science-based scope 1 and scope 2 targets by 2024.
*The target boundary includes biogenic emissions and removals from bioenergy feedstocks.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
Atea,NO0004822503,"Well-below 2°C",,,Norway,Europe,"Software and Services","Targets Set","2018-06-30 23:00:00",,"
Nordic IT infrastructure company ATEA ASA commits to reduce absolute Scope 1 and 2 GHG emissions 43% by 2030 from a 2015 base-year. In addition, ATEA ASA commits to reduce absolute Scope 3 GHG emissions 43% by 2030 from a 2015 base-year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Atlassian Corporation Plc",GB00BZ09BD16,1.5°C,,1,"United Kingdom (UK)",Europe,"Software and Services","Targets Set","2020-12-10 00:00:00",,"Atlassian Corporation commits to reduce absolute scope 1 and 2 GHG emissions 50% by FY2025 from a FY2019 base year. In addition, Atlassian commits to increase annual sourcing of renewable electricity from 15% in FY2019 to 100% by FY2025. Atlassian also commits to reduce absolute scope 3 GHG emissions from business travel 25% over the same target period. Atlassian further commits that 65% of its suppliers by emissions covering purchased goods and services and capital goods will have science-based targets by FY2025.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C. The renewable energy procurement target covering scope 2 emissions is consistent with reductions required to keep warming to 1.5°C."
"Atos SE",FR0000051732,2°C,,1,France,Europe,"Software and Services","Targets Set","2017-09-30 23:00:00",,"
European IT services corporation Atos SE commits to reduce its GHG emissions from scopes 1, 2 and 3 (upstream leased assets and business travel) per unit of value added 37% by 2021 and 86% by 2050, from a 2012 base-year. The company also commits to reduce its scope 3 emissions from purchased goods and services and capital goods 26% by 2021 and 84% by 2050, from a 2015 base-year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"Auchan Retail Portugal",,,,1,France,Europe,Retailing,Committed,"2020-01-01 00:00:00",,,
"Auckland Airport",NZAIAE0002S6,2°C,,,"New Zealand",Oceania,"Air Transportation - Airport Services","Targets Set","2017-11-01 00:00:00",,"
New Zealand airport, Auckland Airport commits to reduce scope 1 and 2 greenhouse gas emissions 45% per m2 by 2025 from a 2012 base-year.
","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"Aurubis AG",,,,1,Germany,Europe,"Mining - Metals (Iron, Aluminium, Other Metals)",Committed,"2020-01-01 00:00:00",,,
"Australian Ethical Investment",AU000000AEF4,,,1,Australia,Oceania,"Banks, Diverse Financials and Insurance",Committed,"2015-12-01 00:00:00",,,
"Australian Postal Corporation",,,,,Australia,Oceania,"Air Freight Transportation and Logistics",Committed,"2020-03-31 23:00:00",,,
